"zip","state","county","land_area_in_sqmi","water_area_in_sqmi","median_household_income"
"64137","MO","Jackson County",7.24,0.09,50315
"64030","MO","Jackson County",14.72,0.06,43121
"64101","MO","Jackson County",0.4,0,NA
"64149","MO","Jackson County",8.54,0.27,54792
"64139","MO","Jackson County",4.09,0.03,82829
"64074","MO","Lafayette County",22.41,0.69,60000
"64052","MO","Jackson County",6.51,0,35954
"64112","MO","Jackson County",1.47,0,54679
"64029","MO","Jackson County",28.44,0.02,66773
"64066","MO","Jackson County",1.65,0.01,51875
"64102","MO","Jackson County",0,0,NA
"64198","MO","Jackson County",NA,NA,NA
"64121","MO","Jackson County",NA,NA,NA
"64999","MO","Jackson County",NA,NA,NA
"64128","MO","Jackson County",3.06,0,23805
"64129","MO","Jackson County",10.42,0.01,32377
"64053","MO","Jackson County",3.17,0.08,35115
"64054","MO","Jackson County",2.02,0.03,32470
"64111","MO","Jackson County",2.72,0,37695
"64145","MO","Jackson County",6.58,0.07,62054
"64130","MO","Jackson County",7.2,0,28493
"64136","MO","Jackson County",4.73,0.04,31008
"64081","MO","Jackson County",14.27,0.03,76684
"64086","MO","Jackson County",37.42,1.58,78203
"64050","MO","Jackson County",13.19,0.35,33776
"64063","MO","Jackson County",6.26,0,63065
"64016","MO","Jackson County",32.51,0,57981
"64152","MO","Platte County",29.72,0.99,79368
"64013","MO","Jackson County",NA,NA,NA
"64134","MO","Jackson County",11.91,0.87,38913
"64171","MO","Jackson County",NA,NA,NA
"64057","MO","Jackson County",15.16,0.06,58500
"64064","MO","Jackson County",17.38,1.07,81950
"64110","MO","Jackson County",3.03,0,40066
"64141","MO","Jackson County",NA,NA,NA
"64148","MO","Jackson County",NA,NA,NA
"64120","MO","Jackson County",8.19,0.77,57674
"64106","MO","Jackson County",1.54,0.06,25649
"64055","MO","Jackson County",12.23,0.03,51375
"64056","MO","Jackson County",20.82,0.22,53093
"64075","MO","Jackson County",50.67,0.21,55746
"64109","MO","Jackson County",2.07,0,19149
"64197","MO","Jackson County",NA,NA,NA
"64170","MO","Jackson County",NA,NA,NA
"64014","MO","Jackson County",12.05,0.03,68665
"64133","MO","Jackson County",16.65,0.09,48407
"64124","MO","Jackson County",1.7,0,26288
"64123","MO","Jackson County",1.65,0,30383
"64088","MO","Jackson County",27.79,0.6,57614
"64108","MO","Jackson County",3.63,0,35521
"64058","MO","Jackson County",35.24,1.94,61356
"64051","MO","Jackson County",NA,NA,NA
"64125","MO","Jackson County",1.65,0.04,23462
"64126","MO","Jackson County",2.49,0.02,25009
"64127","MO","Jackson County",4.18,0,21494
"64105","MO","Jackson County",0.75,0.09,41928
"64113","MO","Jackson County",2.49,0,113536
"64146","MO","Jackson County",4.81,0.02,40993
"64070","MO","Jackson County",39.37,0.14,73291
"64199","MO","Jackson County",NA,NA,NA
"64065","MO","Jackson County",0.72,0.01,31250
"64002","MO","Jackson County",NA,NA,NA
"64870","MO","Jasper County",34.01,0.06,42156
"64803","MO","Jasper County",NA,NA,NA
"64801","MO","Jasper County",58.72,0.03,37262
"64834","MO","Jasper County",31.67,0.16,53544
"64862","MO","Jasper County",83.73,0.61,37722
"64857","MO","Jasper County",0.6,0,48125
"64848","MO","Lawrence County",45.41,0.31,41346
"64849","MO","Jasper County",0.39,0,59375
"64836","MO","Jasper County",182.11,0.74,38727
"64835","MO","Jasper County",2.4,0,32170
"64840","MO","Newton County",50.9,0.1,44219
"64802","MO","Jasper County",NA,NA,NA
"64833","MO","Jasper County",0.2,0,23750
"64841","MO","Jasper County",0.39,0,40694
"64830","MO","Jasper County",1.42,0,50357
"64804","MO","Jasper County",91.18,0.59,42143
"64859","MO","Jasper County",51.62,0.04,37917
"63012","MO","Jefferson County",28.53,0.53,66667
"63028","MO","Jefferson County",122.28,1.28,51828
"63026","MO","St. Louis County",25.3,0.7,70132
"63066","MO","Jefferson County",NA,NA,NA
"63057","MO","Jefferson County",0.05,0,NA
"63052","MO","Jefferson County",32.56,0.71,63183
"63627","MO","Ste. Genevieve County",72.75,3.36,37188
"63030","MO","Washington County",19.56,0.13,49441
"63023","MO","Jefferson County",70.24,0.15,52621
"63053","MO","Jefferson County",0.03,0,51094
"63628","MO","St. Francois County",116.72,0.9,40126
"63047","MO","Jefferson County",0.22,0,NA
"63048","MO","Jefferson County",3.4,0.29,52951
"63020","MO","Jefferson County",141.55,0.63,44640
"63065","MO","Jefferson County",NA,NA,NA
"63050","MO","Jefferson County",90.08,0.61,56330
"63010","MO","Jefferson County",21.75,0.54,58204
"63019","MO","Jefferson County",3.28,0.43,53114
"63087","MO","St. Francois County",13.23,0.04,45278
"63049","MO","Jefferson County",25.25,0,60511
"63051","MO","Jefferson County",46.32,0.26,53532
"63070","MO","Jefferson County",13.59,0.31,40795
"63016","MO","Jefferson County",22.82,0.15,50292
"63025","MO","St. Louis County",39.99,1.16,86412
"64019","MO","Johnson County",84.28,0.24,47928
"65332","MO","Pettis County",89.19,0.37,40511
"64011","MO","Lafayette County",31.44,0.18,68500
"64093","MO","Johnson County",186.97,0.68,43894
"65351","MO","Saline County",117.89,0.94,39861
"64037","MO","Lafayette County",100.09,1.07,45062
"64071","MO","Lafayette County",36.59,0.26,46964
"65336","MO","Johnson County",116.47,0.61,46506
"65305","MO","Johnson County",5.72,0.01,44355
"64076","MO","Lafayette County",121.08,1.02,50616
"64020","MO","Lafayette County",106.67,1.08,55109
"63458","MO","Knox County",30.12,0.28,48500
"63537","MO","Knox County",130.54,0.76,30685
"63460","MO","Knox County",85.48,0.26,36667
"63446","MO","Knox County",108.99,0.48,34261
"63547","MO","Knox County",67.95,0.44,39615
"63531","MO","Knox County",83.09,0.48,27159
"63464","MO","Knox County",1.28,0,16250
"65543","MO","Laclede County",61.64,0.07,42202
"65552","MO","Texas County",148.5,0.43,50765
"65470","MO","Laclede County",106.51,0.57,33188
"65662","MO","Wright County",75.24,0.11,36250
"65534","MO","Pulaski County",40.94,0.13,58973
"64096","MO","Lafayette County",42.47,1.87,35238
"64021","MO","Lafayette County",36.15,0.06,43750
"64022","MO","Lafayette County",10.11,0.5,42083
"64097","MO","Lafayette County",33.98,0.87,46250
"64017","MO","Ray County",19.33,0.64,66389
"64001","MO","Lafayette County",39.41,0.07,59583
"64067","MO","Lafayette County",73.26,2.63,47479
"65321","MO","Saline County",33.82,0.04,49444
"65664","MO","Lawrence County",0.78,0,15625
"65654","MO","Lawrence County",1.1,0,21333
"65712","MO","Lawrence County",121.63,0.16,43116
"64873","MO","Lawrence County",42.94,0.1,36339
"65707","MO","Lawrence County",95.83,0.2,43047
"65756","MO","Lawrence County",28.64,0.04,39063
"63447","MO","Lewis County",85.14,0.22,34010
"63457","MO","Lewis County",34.46,0.05,36442
"63448","MO","Lewis County",49.32,1.24,51042
"63473","MO","Lewis County",68.44,0.29,42250
"63471","MO","Marion County",48.74,4.03,41434
"63440","MO","Lewis County",89.66,0.18,44535
"63454","MO","Marion County",37.93,0.11,51970
"63438","MO","Lewis County",13.81,0.16,58523
"63452","MO","Lewis County",96.01,0.14,36620
"63348","MO","St. Charles County",53.51,0.44,72380
"63362","MO","Lincoln County",36.83,0.49,41700
"63390","MO","Warren County",77.02,2.06,48922
"63333","MO","Montgomery County",43.81,0.23,36438
"63389","MO","Lincoln County",40.59,0.74,52659
"63349","MO","Lincoln County",36.06,0.37,57857
"63383","MO","Warren County",158.63,1.38,47723
"63387","MO","Lincoln County",0.09,0,30938
"63343","MO","Lincoln County",110.63,3.96,38802
"63347","MO","Lincoln County",37.72,4.01,53415
"63377","MO","Lincoln County",132.02,1.2,54461
"63334","MO","Pike County",174.45,0.83,38921
"63369","MO","Lincoln County",32.38,1.3,51722
"63379","MO","Lincoln County",135.5,1.46,57289
"63381","MO","Warren County",27.01,0.15,65000
"63344","MO","Pike County",78.52,0.25,57601
"64653","MO","Linn County",92.35,0.85,34375
"64659","MO","Linn County",73.82,1.36,51389
"64646","MO","Sullivan County",57.41,0.41,39688
"64631","MO","Linn County",76.38,0.17,34688
"64674","MO","Linn County",58.79,0.36,32188
"64651","MO","Linn County",43.26,0.52,57847
"64688","MO","Livingston County",59.63,1.59,42396
"64630","MO","Linn County",100.83,0.63,29688
"63566","MO","Sullivan County",30.07,0.13,34107
"64664","MO","Livingston County",50.89,0.48,47917
"64656","MO","Livingston County",20.18,0,35625
"64686","MO","Livingston County",1.62,0.04,44375
"64850","MO","Newton County",204.82,0.41,40375
"64863","MO","McDonald County",31.03,0.02,31071
"64861","MO","McDonald County",56.85,0.02,42083
"64843","MO","McDonald County",57,0,36616
"64831","MO","McDonald County",117.65,0.01,39181
"64865","MO","Newton County",77.67,0.05,41688
"64867","MO","McDonald County",57.59,0.08,31889
"64856","MO","McDonald County",100.73,0.02,38996
"64854","MO","McDonald County",67.49,0.1,33333
"65730","MO","McDonald County",14.29,0,NA
"64847","MO","McDonald County",3.93,0,26042
"64868","MO","McDonald County",NA,NA,NA
"63538","MO","Macon County",57.03,0.84,39750
"63431","MO","Macon County",46.66,0.11,31667
"65247","MO","Macon County",48.56,1.02,32721
"63532","MO","Macon County",51.17,0.76,36875
"63552","MO","Macon County",129.13,4.48,40919
"63534","MO","Macon County",73.91,2.15,43516
"63437","MO","Shelby County",123.76,0.6,28750
"63530","MO","Macon County",99.66,0.71,39271
"63451","MO","Shelby County",57.67,0.1,54167
"65260","MO","Randolph County",46.32,0.07,51016
"63539","MO","Macon County",43.07,0.14,43000
"63655","MO","Madison County",146.83,0.44,36406
"63645","MO","Madison County",380.77,2.4,35180
"63640","MO","St. Francois County",208.31,0.78,45749
"65443","MO","Maries County",8.56,0.03,61250
"65001","MO","Osage County",18.58,0.06,56597
"65459","MO","Pulaski County",234.43,1.44,50963
"65582","MO","Maries County",136.71,1.26,45305
"65013","MO","Maries County",123.02,0.66,30913
"65580","MO","Maries County",55.04,0.29,42188
"63401","MO","Marion County",104.36,2.38,39600
"63461","MO","Marion County",158.36,2.99,46830
"63463","MO","Marion County",47.12,0.17,47222
"63439","MO","Shelby County",20.17,0,38500
"63456","MO","Monroe County",184.44,4.5,43284
"63443","MO","Shelby County",48.49,0.65,39821
"64673","MO","Mercer County",239.31,0.58,47772
"64661","MO","Mercer County",103.19,0.56,31250
"65082","MO","Miller County",67.35,1.19,40375
"65064","MO","Miller County",18.12,0.01,44569
"65083","MO","Miller County",15.06,0.02,30714
"65452","MO","Pulaski County",92.83,0.28,39348
"65026","MO","Miller County",144.18,1.15,31603
"65486","MO","Miller County",127.84,0.04,29321
"65075","MO","Miller County",45.68,0.38,61406
"65017","MO","Miller County",58.29,0.65,42083
"65072","MO","Morgan County",18.89,3.47,42222
"63845","MO","Mississippi County",204.11,6.67,31098
"63882","MO","Mississippi County",0.46,0.01,24722
"63823","MO","Mississippi County",39.86,0.03,31302
"63834","MO","Mississippi County",248.91,11.76,29401
"63881","MO","Mississippi County",NA,NA,NA
"63820","MO","Mississippi County",0.48,0,27500
"63801","MO","Scott County",209.76,0.39,39853
"65034","MO","Morgan County",34.3,0.02,47708
"65011","MO","Morgan County",80.03,1.73,45565
"65042","MO","Moniteau County",NA,NA,NA
"65050","MO","Moniteau County",23.02,0.06,50938
"65084","MO","Morgan County",168.8,0.48,32469
"65055","MO","Moniteau County",NA,NA,NA
"65275","MO","Monroe County",176.49,2.48,40457
"63462","MO","Ralls County",122.14,7.77,37500
"65263","MO","Monroe County",135.63,0.41,40721
"65258","MO","Monroe County",51.98,0.3,53281
"65282","MO","Monroe County",12.3,0.65,49271
"63468","MO","Shelby County",140.51,0.33,33224
"65283","MO","Monroe County",57.16,14.24,57629
"63350","MO","Montgomery County",24.09,0.53,44464
"63363","MO","Montgomery County",87.06,0.57,38380
"63351","MO","Montgomery County",55.32,0.19,51364
"65329","MO","Morgan County",32.3,0.01,44063
"65350","MO","Pettis County",69.3,0.27,40833
"65078","MO","Morgan County",152.16,5.34,33444
"65038","MO","Morgan County",NA,NA,NA
"63870","MO","New Madrid County",83.79,0.12,31078
"63874","MO","New Madrid County",1.14,0.01,58125
"63862","MO","New Madrid County",59.03,0.48,22123
"63868","MO","New Madrid County",1.59,0,30093
"63828","MO","New Madrid County",0.98,0,30341
"63848","MO","New Madrid County",72.69,0.61,30385
"63833","MO","New Madrid County",81.79,0.18,14701
"63878","MO","New Madrid County",0.54,0,35500
"63869","MO","New Madrid County",89.71,11.78,34293
"63873","MO","New Madrid County",199.95,11.74,41188
"63866","MO","New Madrid County",6.38,0.02,26500
"63867","MO","New Madrid County",89.76,0.15,41875
"63860","MO","New Madrid County",6.71,0.03,37500
"64844","MO","Newton County",65.23,0.19,36228
"64866","MO","Newton County",56.41,0.2,38750
"64864","MO","Newton County",NA,NA,NA
"64858","MO","Newton County",0.4,0.02,NA
"64434","MO","Nodaway County",35.14,0,51339
"64468","MO","Nodaway County",144.63,0.25,31243
"64431","MO","Nodaway County",48.89,0.08,45278
"64461","MO","Nodaway County",77.16,0.07,52596
"64433","MO","Nodaway County",0.75,0.01,77083
"64445","MO","Nodaway County",42.22,0.01,37614
"64455","MO","Nodaway County",52.26,0.06,43542
"64476","MO","Nodaway County",30.03,0.03,49000
"64486","MO","Worth County",58.52,0.1,48558
"64475","MO","Nodaway County",70.75,0.02,53750
"64432","MO","Nodaway County",0.21,0,39167
"65690","MO","Oregon County",43.84,0.23,29688
"65606","MO","Oregon County",203.79,0.72,24405
"65791","MO","Oregon County",131.71,0.03,30063
"65778","MO","Oregon County",39.54,0.07,24792
"65054","MO","Osage County",25.32,0.08,70561
"65035","MO","Osage County",79.96,0.22,62331
"65085","MO","Osage County",55.99,0.91,56250
"65048","MO","Osage County",19.95,0.04,31458
"65024","MO","Osage County",100.31,2.23,51016
"65016","MO","Osage County",50.26,1.04,63917
"65051","MO","Osage County",120.96,0.44,42204
"65761","MO","Ozark County",120.99,9.96,35536
"65760","MO","Ozark County",32.77,0.44,31563
"65729","MO","Ozark County",14.92,3.5,67350
"65762","MO","Ozark County",73.72,0.44,33438
"65666","MO","Ozark County",NA,NA,NA
"65618","MO","Ozark County",27.73,0.06,25333
"65676","MO","Ozark County",16.04,1.71,46875
"65784","MO","Ozark County",1.9,0,NA
"65741","MO","Ozark County",NA,NA,NA
"65655","MO","Ozark County",208.8,0.97,30368
"65773","MO","Ozark County",66.18,0.04,35800
"65766","MO","Ozark County",5.44,0.36,51250
"65733","MO","Taney County",63.11,8.48,33618
"63830","MO","Pemiscot County",68.69,9.54,29272
"63853","MO","Pemiscot County",1.56,0,28125
"63879","MO","Pemiscot County",22.94,0.09,34318
"63851","MO","Pemiscot County",92.63,6.5,21923
"63827","MO","Pemiscot County",88.48,0.85,39107
"63839","MO","Pemiscot County",1.62,0,41167
"63826","MO","Pemiscot County",3.12,0,49167
"63840","MO","Pemiscot County",NA,NA,NA
"63673","MO","Ste. Genevieve County",109.32,3.5,50214
"63737","MO","Perry County",NA,NA,NA
"63783","MO","Perry County",4.88,0,89167
"63748","MO","Perry County",73.01,3.12,63636
"63776","MO","Perry County",NA,NA,NA
"63746","MO","Perry County",1.26,0,59000
"65337","MO","Pettis County",82.64,0.42,43317
"65340","MO","Saline County",258.21,1.12,38659
"65333","MO","Pettis County",62.31,0.34,51029
"65339","MO","Saline County",93.26,2.19,48214
"65302","MO","Pettis County",NA,NA,NA
"65334","MO","Pettis County",68.18,0.25,51094
"65529","MO","Phelps County",0.59,0.11,66875
"65461","MO","Phelps County",18.29,0.26,41111
"65409","MO","Phelps County",NA,NA,NA
"65436","MO","Phelps County",20.79,0.01,NA
"65550","MO","Phelps County",180.38,1.04,41287
"65402","MO","Phelps County",NA,NA,NA
"63353","MO","Pike County",84.27,2.19,36179
"63441","MO","Pike County",89.93,0.74,42546
"63336","MO","Pike County",72.19,3.21,45185
"63433","MO","Pike County",12.51,3.32,NA
"63459","MO","Ralls County",138.66,2.72,54708
"63339","MO","Pike County",84.56,0.51,48542
"63330","MO","Pike County",30.55,2.91,36375
"64190","MO","Jackson County",NA,NA,NA
"64168","MO","Jackson County",NA,NA,NA
"64153","MO","Platte County",36.62,0.39,58845
"64092","MO","Platte County",5.81,0.45,NA
"64098","MO","Platte County",73.31,0.63,73142
"64164","MO","Platte County",10.29,0.01,31406
"64018","MO","Platte County",23.43,0.18,61786
"64079","MO","Platte County",93.87,1.65,81778
"64028","MO","Platte County",NA,NA,NA
"65650","MO","Hickory County",71.71,2.41,36500
"65613","MO","Polk County",188.51,1.43,41961
"65645","MO","Polk County",NA,NA,NA
"65663","MO","Polk County",112.49,0.23,41125
"65710","MO","Polk County",30.48,0.2,55071
"65727","MO","Polk County",13.92,0.09,31500
"65473","MO","Pulaski County",98.97,0.71,44692
"65583","MO","Pulaski County",63.96,0.73,61486
"65457","MO","Pulaski County",19,0.38,23050
"65584","MO","Pulaski County",23.48,0.05,52416
"64655","MO","Putnam County",71.84,0.21,48000
"64672","MO","Putnam County",69.89,0.17,57969
"64667","MO","Sullivan County",89.26,0.29,35227
"63565","MO","Putnam County",273.25,1.85,38297
"63567","MO","Putnam County",11.08,0,14839
"63561","MO","Schuyler County",85.53,0.17,37500
"63551","MO","Putnam County",34.48,0,15156
"63467","MO","Ralls County",0.21,0,NA
"63436","MO","Ralls County",84.37,1.38,51563
"65278","MO","Randolph County",0.11,0,54375
"65259","MO","Randolph County",103.99,2.66,39200
"65270","MO","Randolph County",114.14,0.6,35758
"65239","MO","Randolph County",54.47,0.48,49167
"64085","MO","Ray County",169.41,1.05,47038
"64036","MO","Ray County",18.67,1.19,28984
"64084","MO","Ray County",49.16,0.04,60647
"64035","MO","Ray County",63,0.82,54605
"63957","MO","Wayne County",191.6,2.45,32177
"63666","MO","Reynolds County",2.84,0,35625
"63633","MO","Reynolds County",97.87,0.23,26458
"63625","MO","Reynolds County",80.37,0.22,51875
"63665","MO","Reynolds County",69.17,0.5,48750
"63654","MO","Reynolds County",74.78,0.87,55221
"63953","MO","Ripley County",56.11,0.15,39565
"63942","MO","Ripley County",84.6,0.17,39440
"63939","MO","Ripley County",36.61,0.02,30833
"63955","MO","Ripley County",7.71,0,19402
"63935","MO","Ripley County",473.74,2.07,31208
"63931","MO","Ripley County",NA,NA,NA
"63332","MO","St. Charles County",53.77,1.94,82206
"63365","MO","St. Charles County",NA,NA,NA
"63386","MO","St. Charles County",31.09,8.69,44875
"63367","MO","St. Charles County",13.38,0.81,84756
"63376","MO","St. Charles County",41.54,0.02,74161
"63301","MO","St. Charles County",88.38,10.02,52633
"63303","MO","St. Charles County",19.85,1.54,67179
"63346","MO","St. Charles County",NA,NA,NA
"63304","MO","St. Charles County",41.76,3.18,85329
"63338","MO","St. Charles County",NA,NA,NA
"63368","MO","St. Charles County",16.49,0,84333
"63373","MO","St. Charles County",16.6,3.06,55833
"63357","MO","Warren County",126.84,4.33,64757
"63385","MO","St. Charles County",67.03,0.12,72207
"63366","MO","St. Charles County",68.75,1.33,66352
"63341","MO","St. Charles County",54.76,1.36,90605
"63302","MO","St. Charles County",NA,NA,NA
"64783","MO","Vernon County",62.55,4.43,33438
"64781","MO","St. Clair County",1.04,0.16,20556
"64763","MO","St. Clair County",80.65,5.98,29025
"64738","MO","St. Clair County",80.32,0.62,41932
"63036","MO","St. Francois County",26.89,0.45,30930
"63670","MO","Ste. Genevieve County",258.87,3.92,47304
"63651","MO","St Francois County",NA,NA,NA
"63653","MO","St. Francois County",1.45,0,30313
"63637","MO","St. Francois County",16.66,0.02,18764
"63601","MO","St. Francois County",56.55,0.16,31351
"63648","MO","Washington County",29.46,0.02,37262
"63630","MO","Washington County",66.64,0.28,29449
"63626","MO","Washington County",15.79,0.12,20941
"63125","MO","St. Louis County",9.93,0.79,44458
"63126","MO","St. Louis County",4.65,0,64436
"63137","MO","St. Louis County",7.44,1.28,34019
"63136","MO","St. Louis County",10.58,0,31051
"63135","MO","St. Louis County",6.27,0.01,40443
"63144","MO","St. Louis County",2.35,0,68367
"63017","MO","St. Louis County",19.58,0.27,93110
"63127","MO","St. Louis County",6.29,0.09,88469
"63133","MO","St. Louis County",2.99,0,25239
"63120","MO","St. Louis city",2.42,0,23996
"63114","MO","St. Louis County",8.82,0.02,41771
"63119","MO","St. Louis County",8.39,0,68348
"63033","MO","St. Louis County",12.36,0.02,51707
"63117","MO","St. Louis County",2.36,0,62593
"63074","MO","St. Louis County",3.84,0,35590
"63011","MO","St. Louis County",14.42,0,85133
"63031","MO","St. Louis County",14.67,1.12,55260
"63129","MO","St. Louis County",20.9,1.96,65861
"63143","MO","St. Louis County",1.97,0,36210
"63138","MO","St. Louis County",18.34,1.91,33691
"63134","MO","St. Louis County",8.22,0,36539
"63151","MO","St. Louis City",NA,NA,NA
"63105","MO","St. Louis County",2.66,0,86031
"63034","MO","St. Louis County",18.73,2.32,72231
"63123","MO","St. Louis County",12.56,0.02,52877
"63022","MO","St. Louis County",NA,NA,NA
"63131","MO","St. Louis County",13.92,0,132500
"63038","MO","St. Louis County",20.93,0.06,106513
"63128","MO","St. Louis County",15.01,0.29,73440
"63141","MO","St. Louis County",14.13,0,102708
"63024","MO","St. Louis County",NA,NA,NA
"63121","MO","St. Louis County",7.18,0,33704
"63122","MO","St. Louis County",14.16,0.07,80682
"63021","MO","St. Louis County",21.8,0.4,82449
"63146","MO","St. Louis County",14,1.16,63921
"63132","MO","St. Louis County",5.26,0,55687
"63045","MO","St. Louis County",1.79,0.16,NA
"63042","MO","St. Louis County",12.18,0.07,42648
"63043","MO","St. Louis County",14.11,0.34,61300
"63044","MO","St. Louis County",15.13,0.72,47415
"63088","MO","St. Louis County",5.97,0.3,60471
"63130","MO","St. Louis County",5.04,0,55976
"63171","MO","St. Louis City",NA,NA,NA
"63124","MO","St. Louis County",8.75,0,118816
"63040","MO","St. Louis County",4.53,0,108655
"63032","MO","St. Louis County",NA,NA,NA
"63140","MO","St. Louis County",0.5,0,21750
"63006","MO","St. Louis County",NA,NA,NA
"63145","MO","St Louis County",NA,NA,NA
"63167","MO","St. Louis City",NA,NA,NA
"65344","MO","Saline County",74.75,2.42,43281
"65327","MO","Saline County",0.38,0,45179
"65330","MO","Saline County",46.51,1.91,31500
"65320","MO","Saline County",0.13,0,48750
"65349","MO","Saline County",95.13,1.99,39583
"63535","MO","Schuyler County",26.21,0.05,11875
"63536","MO","Schuyler County",75.76,0.19,34896
"63541","MO","Schuyler County",38.33,0.05,38194
"63548","MO","Schuyler County",76.63,0.3,32625
"63563","MO","Scotland County",74.29,0.46,33750
"63555","MO","Scotland County",198.34,1.62,39464
"63543","MO","Scotland County",38.78,0.22,33000
"63442","MO","Scotland County",NA,NA,NA
"63736","MO","Scott County",67.49,2.15,48654
"63784","MO","Scott County",0.85,0,31786
"63767","MO","Scott County",1.33,0,45662
"63758","MO","Scott County",0.41,0.01,68750
"63824","MO","Scott County",0.09,0,34219
"63735","MO","Stoddard County",60.25,0.15,36518
"63742","MO","Scott County",0.31,0,41250
"63774","MO","Scott County",3.31,0,26250
"65546","MO","Shannon County",NA,NA,NA
"65466","MO","Shannon County",186.79,0.05,31298
"65588","MO","Shannon County",203.01,0.11,30759
"65438","MO","Shannon County",326.55,0.18,35568
"65571","MO","Texas County",181.79,0.07,33839
"63450","MO","Shelby County",25.39,0.01,32500
"63434","MO","Shelby County",64.17,0.08,39375
"63469","MO","Shelby County",133.37,0.17,42050
"63841","MO","Stoddard County",133.34,0.59,37442
"63960","MO","Stoddard County",118.68,3.26,37756
"63850","MO","Stoddard County",NA,NA,NA
"63825","MO","Stoddard County",98.27,0.9,40085
"63936","MO","Stoddard County",77.67,0.74,40250
"63846","MO","Stoddard County",110.02,0.64,40250
"63738","MO","Stoddard County",0.29,0,NA
"65675","MO","Stone County",NA,NA,NA
"65624","MO","Stone County",55.77,3.3,40750
"65616","MO","Taney County",74.11,4.83,42033
"65611","MO","Stone County",29.73,6.42,47143
"65681","MO","Stone County",33.78,5.29,43341
"65686","MO","Stone County",9.54,5.59,42574
"63545","MO","Sullivan County",114.46,0.42,35809
"63560","MO","Sullivan County",42.49,0.09,31875
"63556","MO","Sullivan County",241.53,1.7,41774
"64645","MO","Sullivan County",44.02,0.2,22143
"65673","MO","Taney County",NA,NA,NA
"65739","MO","Taney County",13.09,2.58,43452
"65740","MO","Taney County",4.49,0.29,30111
"65731","MO","Taney County",1.41,0.09,97813
"65744","MO","Taney County",21.03,0,41912
"65672","MO","Taney County",55.42,2.68,34634
"65680","MO","Taney County",21.47,0.86,28765
"65615","MO","Taney County",NA,NA,NA
"65679","MO","Taney County",52.57,3.55,37500
"65726","MO","Taney County",NA,NA,NA
"65627","MO","Taney County",54.08,3.88,56771
"65557","MO","Texas County",5.2,0.01,66136
"65564","MO","Texas County",11.37,0.01,12075
"65483","MO","Texas County",105.69,0.37,37716
"65479","MO","Texas County",85.56,0.02,21354
"65589","MO","Texas County",11.06,0,36161
"65468","MO","Texas County",12.12,0,32829
"65570","MO","Texas County",28.87,0.02,41000
"65444","MO","Texas County",81.9,0.21,37500
"65689","MO","Texas County",182.76,0.32,33377
"65555","MO","Texas County",81.22,0,38125
"65484","MO","Texas County",24.74,0.01,71417
"65660","MO","Wright County",22.46,0.02,17431
"65711","MO","Wright County",291.02,0.51,29063
"65464","MO","Texas County",58.26,0.02,27232
"64772","MO","Vernon County",138.51,1.18,39693
"64767","MO","Vernon County",56.96,0.32,53750
"64771","MO","Vernon County",40.76,0.17,42431
"64750","MO","Vernon County",31.22,0.3,29125
"64790","MO","Vernon County",79.62,1.03,31071
"64765","MO","Vernon County",0.1,0,31250
"64778","MO","Vernon County",116.8,1.67,36583
"64741","MO","Vernon County",32.71,0.3,30682
"63378","MO","Warren County",NA,NA,NA
"63380","MO","Warren County",NA,NA,NA
"63342","MO","Warren County",NA,NA,NA
"63631","MO","Washington County",41.55,0.03,55217
"63664","MO","Washington County",294.1,0.99,34681
"63660","MO","Washington County",37.33,0.19,30553
"63071","MO","Washington County",39.75,0.22,33462
"63622","MO","Washington County",44.8,0.21,36211
"63674","MO","Washington County",3.38,0.01,39628
"63952","MO","Wayne County",55.51,0.49,27250
"63763","MO","Wayne County",25.06,0.01,27000
"63956","MO","Wayne County",76.12,0.8,32286
"63934","MO","Wayne County",11.78,0.02,NA
"63944","MO","Wayne County",180.47,3.24,29808
"63964","MO","Wayne County",63.98,0.19,34770
"63950","MO","Wayne County",NA,NA,NA
"63951","MO","Wayne County",26.56,0.24,47768
"65667","MO","Wright County",184.95,0.64,32500
"65636","MO","Webster County",NA,NA,NA
"65746","MO","Webster County",180.2,0.22,39097
"65713","MO","Webster County",108.71,0.28,41663
"64420","MO","Worth County",0.57,0,38750
"64499","MO","Worth County",10.33,0,49306
"65704","MO","Wright County",125.34,0.04,32517
"65702","MO","Wright County",28.87,0,23586
"65717","MO","Wright County",137.6,0.02,30152
"63107","MO","St. Louis city",2.4,0,23276
"63155","MO","St. Louis city",0,0,NA
"63103","MO","St. Louis city",2.16,0,34719
"63106","MO","St. Louis city",2.26,0,15126
"63108","MO","St. Louis city",2.24,0,30157
"63110","MO","St. Louis city",6.26,0,38036
"63102","MO","St. Louis city",1.49,0.49,54018
"63101","MO","St. Louis city",0.38,0,54417
"63112","MO","St. Louis city",3.31,0,27383
"63115","MO","St. Louis city",4.27,0,26183
"63116","MO","St. Louis city",5.5,0.02,40251
"63139","MO","St. Louis city",3.89,0,47280
"63180","MO","St. Louis City",NA,NA,NA
"63166","MO","St. Louis City",NA,NA,NA
"63178","MO","St. Louis City",NA,NA,NA
"63104","MO","St. Louis city",3.46,0.35,45498
"63109","MO","St. Louis city",3.57,0.07,51951
"63113","MO","St. Louis city",2.54,0,24561
"63147","MO","St. Louis city",5.87,0.89,29816
"63177","MO","St. Louis City",NA,NA,NA
"63111","MO","St. Louis city",3.24,0.75,30334
